"","agree_rate","vote_rate","is_municipality","is_offshoreIsland","location","gender_ratio","young_ratio","old_ratio","young_old_ratio","married_ratio","college_ratio","salary_med"
"連江縣南竿鄉",0.248,0.508899551153072,"0","1","offshore island",1.69098095580309,0.232565331683934,0.123859594866244,1.87765293383271,0.658103061986557,0.401941747572816,1022
"連江縣莒光鄉",0.244,0.529372045914922,"0","1","offshore island",3.23344947735192,0.206477732793522,0.148448043184885,1.39090909090909,0.703877005347594,0.348262032085562,948
"連江縣北竿鄉",0.23,0.522352941176471,"0","1","offshore island",2.28371089536138,0.213546566321731,0.154280338664158,1.38414634146341,0.682803135085293,0.363762102351314,918
"連江縣東引鄉",0.487,0.507029876977153,"0","1","offshore island",3.52145922746781,0.257443082311734,0.0971978984238179,2.64864864864865,0.658682634730539,0.364414029084688,965
"金門縣金沙鎮",0.191,0.354310344827586,"0","1","offshore island",1.05323756205767,0.21342383107089,0.162087912087912,1.31671651711532,0.696382632435554,0.362839292276999,874
"金門縣烏坵鄉",0.23,0.291005291005291,"0","1","offshore island",4.3405017921147,0.239858906525573,0.123456790123457,1.94285714285714,0.6738768718802,0.402662229617304,923
"金門縣烈嶼鄉",0.202,0.364765330592669,"0","1","offshore island",1.1146518293711,0.212880602121108,0.156175162504276,1.36308871851041,0.704187604690117,0.350837520938023,850
"金門縣金城鎮",0.256,0.350099166997223,"0","1","offshore island",1.02560886380266,0.214225277630883,0.147593865679535,1.45145109279828,0.684264690748173,0.429633631779356,938
"金門縣金湖鎮",0.234,0.366621647694385,"0","1","offshore island",1.06020580555982,0.219157472417252,0.140614150142736,1.55857338820302,0.684855733293467,0.402526536104051,906
"金門縣金寧鄉",0.31,0.361799588097436,"0","1","offshore island",1.07216127653512,0.306477373558119,0.122945874001775,2.49278290993072,0.617298005933899,0.375526116056027,914
"宜蘭縣冬山鄉",0.33,0.539389935029182,"0","0","county",1.08392744337154,0.21527120695346,0.181252062933216,1.18768969284934,0.671049272402349,0.309590673134201,739
"宜蘭縣三星鄉",0.318,0.524276940843,"0","0","county",1.24349400316814,0.1961770096884,0.215868028279654,0.908782144590005,0.684419148287428,0.251143408883017,733
"宜蘭縣羅東鎮",0.345,0.575512256006657,"0","0","county",0.888293926002387,0.215562638580931,0.185455931263858,1.16233887539697,0.65369289528943,0.374729253815248,811
"宜蘭縣大同鄉",0.206,0.585410334346505,"0","0","county",1.45783664459161,0.247420594780498,0.116326117742262,2.12695652173913,0.695989149389653,0.130013563262934,624
"宜蘭縣壯圍鄉",0.351,0.578682333193454,"0","0","county",1.19451865044029,0.219825779102809,0.184189686495551,1.19347496206373,0.666816749212067,0.255875731652409,713
"宜蘭縣頭城鎮",0.326,0.549074995026855,"0","0","county",1.12156413612565,0.208726086783598,0.198067056437179,1.05381526104418,0.675484737953542,0.248569783067767,791
"宜蘭縣五結鄉",0.332,0.536455347930758,"0","0","county",1.10507353375465,0.21756064033907,0.178241072195653,1.22059768637532,0.665797431131578,0.307875828779094,722
"宜蘭縣宜蘭市",0.336,0.566195510755744,"0","0","county",0.945574758744743,0.221875749580235,0.177008243804522,1.25347692746594,0.641370038877518,0.386013782746133,828
"宜蘭縣員山鄉",0.336,0.538089651985354,"0","0","county",1.18048854041013,0.223894905023966,0.18359666252441,1.21949332817637,0.662922887275716,0.263696753869333,757
"宜蘭縣礁溪鄉",0.326,0.540535323639171,"0","0","county",1.12974598930481,0.212984676668059,0.197532847184298,1.07822410147992,0.665979317024401,0.29131127565845,732
"宜蘭縣蘇澳鎮",0.326,0.561369958275382,"0","0","county",1.07300299770764,0.197662983745011,0.213194886330769,0.927146927146927,0.681542436667977,0.241139133853845,694
"宜蘭縣南澳鄉",0.184,0.605512489233419,"0","0","county",1.375,0.265433426543343,0.114433211443321,2.31954887218045,0.691625412541254,0.146658415841584,633
"新竹縣橫山鄉",0.261,0.591485986250661,"0","0","county",1.33526234567901,0.199472759226714,0.247188049209139,0.806967650195521,0.680791201295933,0.255435245971524,726
"新竹縣北埔鄉",0.28,0.567481662591687,"0","0","county",1.38644884841993,0.213098729227761,0.23533724340176,0.905503634475597,0.68271954674221,0.259678942398489,727
"新竹縣峨眉鄉",0.246,0.602999210734017,"0","0","county",1.54601226993865,0.181083743842365,0.284137931034483,0.637309292649098,0.716940948693127,0.243949661181026,735
"新竹縣尖石鄉",0.191,0.511678435632808,"0","0","county",1.31043403276804,0.277182027962536,0.109271073707072,2.53664596273292,0.664447573934195,0.139162719242094,671
"新竹縣芎林鄉",0.288,0.589429248829006,"0","0","county",1.23925853179475,0.230564860806284,0.199780524431096,1.15409077768141,0.667554371948513,0.355082112738571,927
"新竹縣竹東鎮",0.3,0.540992969007792,"0","0","county",1.01513966339482,0.226640637874428,0.16249825700052,1.39472657773617,0.662235942134253,0.39015798075177,975
"新竹縣關西鎮",0.273,0.569116218841049,"0","0","county",1.22956112032109,0.199862665104819,0.2373066203498,0.842212765957447,0.676851815810984,0.279786695730022,796
