"","county","district","V6","site_id"
"1","臺北市","松山區","1522","臺北市松山區"
"2","臺北市","大安區","1722","臺北市大安區"
"3","臺北市","中正區","1658","臺北市中正區"
"4","臺北市","萬華區","914","臺北市萬華區"
"5","臺北市","大同區","1038","臺北市大同區"
"6","臺北市","中山區","1383","臺北市中山區"
"7","臺北市","文山區","1202","臺北市文山區"
"8","臺北市","南港區","1092","臺北市南港區"
"9","臺北市","內湖區","1265","臺北市內湖區"
"10","臺北市","士林區","1295","臺北市士林區"
"11","臺北市","北投區","1137","臺北市北投區"
"12","臺北市","信義區","1314","臺北市信義區"
"13","臺中市","中　區","907","臺中市中區"
"14","臺中市","東　區","824","臺中市東區"
"15","臺中市","西　區","1111","臺中市西區"
"16","臺中市","南　區","898","臺中市南區"
"17","臺中市","北　區","941","臺中市北區"
"18","臺中市","西屯區","1145","臺中市西屯區"
"19","臺中市","南屯區","1147","臺中市南屯區"
"20","臺中市","北屯區","913","臺中市北屯區"
"21","臺中市","豐原區","802","臺中市豐原區"
"22","臺中市","東勢區","696","臺中市東勢區"
"23","臺中市","大甲區","794","臺中市大甲區"
"24","臺中市","清水區","732","臺中市清水區"
"25","臺中市","沙鹿區","851","臺中市沙鹿區"
"26","臺中市","梧棲區","755","臺中市梧棲區"
"27","臺中市","神岡區","697","臺中市神岡區"
"28","臺中市","后里區","715","臺中市后里區"
"29","臺中市","大雅區","792","臺中市大雅區"
"30","臺中市","潭子區","771","臺中市潭子區"
"31","臺中市","新社區","692","臺中市新社區"
"32","臺中市","石岡區","704","臺中市石岡區"
"33","臺中市","外埔區","736","臺中市外埔區"
"34","臺中市","大安區","682","臺中市大安區"
"35","臺中市","烏日區","823","臺中市烏日區"
"36","臺中市","大肚區","723","臺中市大肚區"
"37","臺中市","龍井區","816","臺中市龍井區"
"38","臺中市","霧峰區","741","臺中市霧峰區"
"39","臺中市","太平區","728","臺中市太平區"
"40","臺中市","大里區","768","臺中市大里區"
"41","臺中市","和平區","705","臺中市和平區"
"42","基隆市","中正區","758","基隆市中正區"
"43","基隆市","七堵區","754","基隆市七堵區"
"44","基隆市","暖暖區","792","基隆市暖暖區"
"45","基隆市","仁愛區","795","基隆市仁愛區"
"46","基隆市","中山區","751","基隆市中山區"
"47","基隆市","安樂區","842","基隆市安樂區"
"48","基隆市","信義區","811","基隆市信義區"
"49","臺南市","東　區","1091","臺南市東區"
"50","臺南市","南　區","766","臺南市南區"
"51","臺南市","北　區","975","臺南市北區"
"52","臺南市","安南區","760","臺南市安南區"
"53","臺南市","安平區","952","臺南市安平區"
"54","臺南市","中西區","1078","臺南市中西區"
"55","臺南市","新營區","874","臺南市新營區"
"56","臺南市","鹽水區","709","臺南市鹽水區"
"57","臺南市","白河區","692","臺南市白河區"
"58","臺南市","柳營區","747","臺南市柳營區"
"59","臺南市","後壁區","729","臺南市後壁區"
"60","臺南市","東山區","680","臺南市東山區"
"61","臺南市","麻豆區","787","臺南市麻豆區"
"62","臺南市","下營區","731","臺南市下營區"
"63","臺南市","六甲區","730","臺南市六甲區"
"64","臺南市","官田區","729","臺南市官田區"
"65","臺南市","大內區","642","臺南市大內區"
"66","臺南市","佳里區","774","臺南市佳里區"
"67","臺南市","西港區","690","臺南市西港區"
"68","臺南市","七股區","641","臺南市七股區"
"69","臺南市","將軍區","641","臺南市將軍區"
"70","臺南市","北門區","649","臺南市北門區"
"71","臺南市","學甲區","704","臺南市學甲區"
"72","臺南市","新化區","740","臺南市新化區"
"73","臺南市","善化區","999","臺南市善化區"
"74","臺南市","新市區","818","臺南市新市區"
"75","臺南市","安定區","753","臺南市安定區"
"76","臺南市","山上區","676","臺南市山上區"
"77","臺南市","玉井區","700","臺南市玉井區"
"78","臺南市","楠西區","653","臺南市楠西區"
"79","臺南市","南化區","670","臺南市南化區"
"80","臺南市","左鎮區","660","臺南市左鎮區"
"81","臺南市","仁德區","791","臺南市仁德區"
"82","臺南市","歸仁區","794","臺南市歸仁區"
"83","臺南市","關廟區","714","臺南市關廟區"
"84","臺南市","龍崎區","662","臺南市龍崎區"
"85","臺南市","永康區","865","臺南市永康區"
"86","高雄市","鹽埕區","871","高雄市鹽埕區"
"87","高雄市","鼓山區","1030","高雄市鼓山區"
"88","高雄市","左營區","990","高雄市左營區"
"89","高雄市","楠梓區","848","高雄市楠梓區"
"90","高雄市","三民區","904","高雄市三民區"
"91","高雄市","新興區","1056","高雄市新興區"
"92","高雄市","前金區","1116","高雄市前金區"
"93","高雄市","苓雅區","947","高雄市苓雅區"
"94","高雄市","前鎮區","844","高雄市前鎮區"
"95","高雄市","旗津區","648","高雄市旗津區"
"96","高雄市","小港區","799","高雄市小港區"
"97","高雄市","鳳山區","828","高雄市鳳山區"
"98","高雄市","鳥松區","1173","高雄市鳥松區"
"99","高雄市","仁武區","811","高雄市仁武區"
"100","高雄市","大社區","747","高雄市大社區"
"101","高雄市","大樹區","689","高雄市大樹區"
"102","高雄市","大寮區","711","高雄市大寮區"
"103","高雄市","林園區","734","高雄市林園區"
"104","高雄市","岡山區","800","高雄市岡山區"
"105","高雄市","茄萣區","630","高雄市茄萣區"
"106","高雄市","永安區","691","高雄市永安區"
"107","高雄市","橋頭區","818","高雄市橋頭區"
"108","高雄市","梓官區","686","高雄市梓官區"
"109","高雄市","田寮區","653","高雄市田寮區"
"110","高雄市","阿蓮區","724","高雄市阿蓮區"
"111","高雄市","路竹區","778","高雄市路竹區"
"112","高雄市","燕巢區","716","高雄市燕巢區"
"113","高雄市","彌陀區","650","高雄市彌陀區"
"114","高雄市","湖內區","736","高雄市湖內區"
"115","高雄市","旗山區","703","高雄市旗山區"
"116","高雄市","六龜區","650","高雄市六龜區"
"117","高雄市","內門區","604","高雄市內門區"
"118","高雄市","美濃區","748","高雄市美濃區"
"119","高雄市","杉林區","612","高雄市杉林區"
"120","高雄市","甲仙區","597","高雄市甲仙區"
"121","高雄市","茂林區","711","高雄市茂林區"
"122","高雄市","桃源區","680","高雄市桃源區"
"123","高雄市","那瑪夏區","686","高雄市那瑪夏區"
"124","新北市","新莊區","843","新北市新莊區"
"125","新北市","林口區","1158","新北市林口區"
"126","新北市","五股區","810","新北市五股區"
"127","新北市","蘆洲區","815","新北市蘆洲區"
"128","新北市","三重區","816","新北市三重區"
"129","新北市","泰山區","854","新北市泰山區"
"130","新北市","新店區","1056","新北市新店區"
"131","新北市","石碇區","754","新北市石碇區"
"132","新北市","深坑區","850","新北市深坑區"
"133","新北市","坪林區","728","新北市坪林區"
"134","新北市","烏來區","785","新北市烏來區"
"135","新北市","板橋區","925","新北市板橋區"
"136","新北市","三峽區","848","新北市三峽區"
"137","新北市","鶯歌區","741","新北市鶯歌區"
"138","新北市","樹林區","825","新北市樹林區"
"139","新北市","中和區","898","新北市中和區"
